Date,Year,Month,Day,Start of Quarter,Start of Month,End of Month,Day Name,Day of Week
2014-01-02,2014,1,2,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Thu,4
2014-01-03,2014,1,3,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Fri,5
2014-01-04,2014,1,4,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Sat,6
2014-01-06,2014,1,6,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Mon,1
2014-01-07,2014,1,7,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Tue,2
2014-01-08,2014,1,8,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Wed,3
2014-01-09,2014,1,9,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Thu,4
2014-01-10,2014,1,10,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Fri,5
2014-01-11,2014,1,11,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Sat,6
2014-01-12,2014,1,12,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Sun,7
2014-01-13,2014,1,13,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Mon,1
2014-01-14,2014,1,14,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Tue,2
2014-01-15,2014,1,15,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Wed,3
2014-01-16,2014,1,16,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Thu,4
2014-01-18,2014,1,18,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Sat,6
2014-01-19,2014,1,19,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Sun,7
2014-01-20,2014,1,20,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Mon,1
2014-01-21,2014,1,21,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Tue,2
2014-01-23,2014,1,23,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Thu,4
2014-01-26,2014,1,26,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Sun,7
2014-01-27,2014,1,27,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Mon,1
2014-01-28,2014,1,28,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Tue,2
2014-01-30,2014,1,30,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Thu,4
2014-01-31,2014,1,31,1/1/2014 0:00,1/1/2014 0:00,1/31/2014 0:00,Fri,5
2014-02-02,2014,2,2,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Sun,7
2014-02-03,2014,2,3,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Mon,1
2014-02-04,2014,2,4,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Tue,2
2014-02-05,2014,2,5,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Wed,3
2014-02-06,2014,2,6,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Thu,4
2014-02-07,2014,2,7,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Fri,5
2014-02-08,2014,2,8,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Sat,6
2014-02-09,2014,2,9,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Sun,7
2014-02-10,2014,2,10,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Mon,1
2014-02-11,2014,2,11,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Tue,2
2014-02-12,2014,2,12,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Wed,3
2014-02-14,2014,2,14,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Fri,5
2014-02-15,2014,2,15,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Sat,6
2014-02-16,2014,2,16,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Sun,7
2014-02-17,2014,2,17,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Mon,1
2014-02-18,2014,2,18,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Tue,2
2014-02-20,2014,2,20,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Thu,4
2014-02-21,2014,2,21,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Fri,5
2014-02-22,2014,2,22,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Sat,6
2014-02-23,2014,2,23,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Sun,7
2014-02-24,2014,2,24,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Mon,1
2014-02-27,2014,2,27,1/1/2014 0:00,2/1/2014 0:00,2/28/2014 0:00,Thu,4
2014-03-01,2014,3,1,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Sat,6
2014-03-02,2014,3,2,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Sun,7
2014-03-03,2014,3,3,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Mon,1
2014-03-04,2014,3,4,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Tue,2
2014-03-05,2014,3,5,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Wed,3
2014-03-06,2014,3,6,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Thu,4
2014-03-08,2014,3,8,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Sat,6
2014-03-09,2014,3,9,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Sun,7
2014-03-10,2014,3,10,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Mon,1
2014-03-11,2014,3,11,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Tue,2
2014-03-12,2014,3,12,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Wed,3
2014-03-14,2014,3,14,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Fri,5
2014-03-15,2014,3,15,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Sat,6
2014-03-16,2014,3,16,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Sun,7
2014-03-17,2014,3,17,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Mon,1
2014-03-18,2014,3,18,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Tue,2
2014-03-19,2014,3,19,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Wed,3
2014-03-21,2014,3,21,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Fri,5
2014-03-22,2014,3,22,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Sat,6
2014-03-23,2014,3,23,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Sun,7
2014-03-24,2014,3,24,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Mon,1
2014-03-25,2014,3,25,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Tue,2
2014-03-26,2014,3,26,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Wed,3
2014-03-28,2014,3,28,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Fri,5
2014-03-29,2014,3,29,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Sat,6
2014-03-30,2014,3,30,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Sun,7
2014-03-31,2014,3,31,1/1/2014 0:00,3/1/2014 0:00,3/31/2014 0:00,Mon,1
