Retail Order Id,Order Id,Order Date,Ship Date,Ship Mode Id,Customer Id,Postal Code,Retail Sales People Id,Product Id,Returned,Ship Status,Sales,Quantity,Profit,Cost,Days
1,CA-2016-152156,2016-08-11,2016-11-11,1,CG-12520,42420,1,FUR-BO-10001798,Not,Late,261.96,2,41.9136,220.0464,92
2,CA-2016-152156,2016-08-11,2016-11-11,1,CG-12520,42420,1,FUR-CH-10000454,Not,Late,731.94,3,219.582,512.358,92
3,CA-2016-138688,2016-12-06,2016-12-06,1,DV-13045,90036,2,OFF-LA-10000240,Not,On-Time,14.62,2,6.8714,7.7486,0
4,US-2015-108966,2015-11-10,2015-11-10,2,SO-20335,33311,1,FUR-TA-10000577,Not,On-Time,957.5775,5,-383.031,1340.6085,0
5,US-2015-108966,2015-11-10,2015-11-10,2,SO-20335,33311,1,OFF-ST-10000760,Not,On-Time,22.368,2,2.5164,19.8516,0
6,CA-2014-115812,2014-09-06,2014-09-06,2,BH-11710,90032,2,FUR-FU-10001487,Not,On-Time,48.86,7,14.1694,34.6906,0
7,CA-2014-115812,2014-09-06,2014-09-06,2,BH-11710,90032,2,OFF-AR-10002833,Not,On-Time,7.28,4,1.9656,5.3144,0
8,CA-2014-115812,2014-09-06,2014-09-06,2,BH-11710,90032,2,TEC-PH-10002275,Not,On-Time,907.152,6,90.7152,816.4368,0
9,CA-2014-115812,2014-09-06,2014-09-06,2,BH-11710,90032,2,OFF-BI-10003910,Not,On-Time,18.504,3,5.7825,12.7215,0
10,CA-2014-115812,2014-09-06,2014-09-06,2,BH-11710,90032,2,OFF-AP-10002892,Not,On-Time,114.9,5,34.47,80.43,0
11,CA-2014-115812,2014-09-06,2014-09-06,2,BH-11710,90032,2,FUR-TA-10001539,Not,On-Time,1706.184,9,85.3092,1620.8748,0
12,CA-2014-115812,2014-09-06,2014-09-06,2,BH-11710,90032,2,TEC-PH-10002033,Not,On-Time,911.424,4,68.3568,843.0672,0
13,CA-2017-114412,2017-04-15,2017-04-20,2,AA-10480,28027,1,OFF-PA-10002365,Not,On-Time,15.552,3,5.4432,10.1088,5
14,CA-2016-161389,2016-05-12,2016-10-12,2,IM-15070,98103,2,OFF-BI-10003656,Not,Late,407.976,3,132.5922,275.3838,153
15,US-2015-118983,2015-11-22,2015-11-26,2,HP-14815,76106,3,OFF-AP-10002311,Not,On-Time,68.81,5,-123.858,192.668,4
16,US-2015-118983,2015-11-22,2015-11-26,2,HP-14815,76106,3,OFF-BI-10000756,Not,On-Time,2.544,3,-3.816,6.36,4
17,CA-2014-105893,2014-11-11,2014-11-18,2,PK-19075,53711,3,OFF-ST-10004186,Not,Late,665.88,6,13.3176,652.5624,7
18,CA-2014-167164,2014-05-13,2014-05-15,1,AG-10270,84084,2,OFF-ST-10000107,Not,On-Time,55.5,2,9.99,45.51,2
19,CA-2014-143336,2014-08-27,2014-08-27,1,ZD-21925,94109,2,OFF-AR-10003056,Yes,On-Time,8.56,2,2.4824,6.0776,0
20,CA-2014-143336,2014-08-27,2014-08-27,1,ZD-21925,94109,2,TEC-PH-10001949,Yes,On-Time,213.48,3,16.011,197.469,0
21,CA-2014-143336,2014-08-27,2014-08-27,1,ZD-21925,94109,2,OFF-BI-10002215,Yes,On-Time,22.72,4,7.384,15.336,0
22,CA-2016-137330,2016-09-12,2016-12-13,2,KB-16585,68025,3,OFF-AR-10000246,Not,Late,19.46,7,5.0596,14.4004,92
23,CA-2016-137330,2016-09-12,2016-12-13,2,KB-16585,68025,3,OFF-AP-10001492,Not,Late,60.34,7,15.6884,44.6516,92
24,US-2017-156909,2017-07-16,2017-07-18,1,SF-20065,19140,4,FUR-CH-10002774,Not,On-Time,71.372,2,-1.0196,72.3916,2
25,CA-2015-106320,2015-09-25,2015-09-30,2,EB-13870,84057,2,FUR-TA-10000577,Not,On-Time,1044.63,3,240.2649,804.3651,5
26,CA-2016-121755,2016-01-16,2016-01-20,1,EH-13945,90049,2,OFF-BI-10001634,Not,Late,11.648,2,4.2224,7.4256,4
27,CA-2016-121755,2016-01-16,2016-01-20,1,EH-13945,90049,2,TEC-AC-10003027,Not,Late,90.57,3,11.7741,78.7959,4
28,US-2015-150630,2015-09-17,2015-09-21,2,TB-21520,19140,4,FUR-BO-10004834,Not,On-Time,3083.43,7,-1665.0522,4748.4822,4
29,US-2015-150630,2015-09-17,2015-09-21,2,TB-21520,19140,4,OFF-BI-10000474,Not,On-Time,9.618,2,-7.0532,16.6712,4
30,US-2015-150630,2015-09-17,2015-09-21,2,TB-21520,19140,4,FUR-FU-10004848,Not,On-Time,124.2,3,15.525,108.675,4
31,US-2015-150630,2015-09-17,2015-09-21,2,TB-21520,19140,4,OFF-EN-10001509,Not,On-Time,3.264,2,1.1016,2.1624,4
32,US-2015-150630,2015-09-17,2015-09-21,2,TB-21520,19140,4,OFF-AR-10004042,Not,On-Time,86.304,6,9.7092,76.5948,4
33,US-2015-150630,2015-09-17,2015-09-21,2,TB-21520,19140,4,OFF-BI-10001525,Not,On-Time,6.858,6,-5.715,12.573,4
34,US-2015-150630,2015-09-17,2015-09-21,2,TB-21520,19140,4,OFF-AR-10001683,Not,On-Time,15.76,2,3.546,12.214,4
35,CA-2017-107727,2017-10-19,2017-10-23,1,MA-17560,77095,3,OFF-PA-10000249,Not,Late,29.472,3,9.9468,19.5252,4
36,CA-2016-117590,2016-08-12,2016-10-12,3,GH-14485,75080,3,TEC-PH-10004977,Not,Late,1097.544,7,123.4737,974.0703,61
37,CA-2016-117590,2016-08-12,2016-10-12,3,GH-14485,75080,3,FUR-FU-10003664,Not,Late,190.92,5,-147.963,338.883,61
38,CA-2015-117415,2015-12-27,2015-12-31,2,SN-20710,77041,3,OFF-EN-10002986,Not,On-Time,113.328,9,35.415,77.913,4
39,CA-2015-117415,2015-12-27,2015-12-31,2,SN-20710,77041,3,FUR-BO-10002545,Not,On-Time,532.3992,3,-46.9764,579.3756,4
40,CA-2015-117415,2015-12-27,2015-12-31,2,SN-20710,77041,3,FUR-CH-10004218,Not,On-Time,212.058,3,-15.147,227.205,4
41,CA-2015-117415,2015-12-27,2015-12-31,2,SN-20710,77041,3,TEC-PH-10000486,Not,On-Time,371.168,4,41.7564,329.4116,4
42,CA-2017-120999,2017-10-09,2017-10-09,2,LC-16930,60540,3,TEC-PH-10004093,Not,On-Time,147.168,4,16.5564,130.6116,0
43,CA-2016-101343,2016-07-17,2016-07-22,2,RA-19885,90049,2,OFF-ST-10003479,Not,On-Time,77.88,2,3.894,73.986,5
44,CA-2017-139619,2017-09-19,2017-09-23,2,ES-14080,32935,1,OFF-ST-10003282,Not,On-Time,95.616,2,9.5616,86.0544,4
45,CA-2016-118255,2016-11-03,2016-11-03,3,ON-18715,55122,3,TEC-AC-10000171,Not,On-Time,45.98,2,19.7714,26.2086,0
46,CA-2016-118255,2016-11-03,2016-11-03,3,ON-18715,55122,3,OFF-BI-10003291,Not,On-Time,17.46,2,8.2062,9.2538,0
47,CA-2014-146703,2014-10-20,2014-10-25,1,PO-18865,48185,3,OFF-ST-10001713,Not,Late,211.96,4,8.4784,203.4816,5
48,CA-2016-169194,2016-06-20,2016-06-25,2,LH-16900,19901,4,TEC-AC-10002167,Not,On-Time,45.0,3,4.95,40.05,5
49,CA-2016-169194,2016-06-20,2016-06-25,2,LH-16900,19901,4,TEC-PH-10003988,Not,On-Time,21.8,2,6.104,15.696,5
50,CA-2015-115742,2015-04-18,2015-04-22,2,DP-13000,47150,3,OFF-BI-10004410,Not,On-Time,38.22,6,17.9634,20.2566,4
51,CA-2015-115742,2015-04-18,2015-04-22,2,DP-13000,47150,3,OFF-LA-10002762,Not,On-Time,75.18,6,35.3346,39.8454,4
52,CA-2015-115742,2015-04-18,2015-04-22,2,DP-13000,47150,3,FUR-FU-10001706,Not,On-Time,6.16,2,2.9568,3.2032,4
53,CA-2015-115742,2015-04-18,2015-04-22,2,DP-13000,47150,3,FUR-CH-10003061,Not,On-Time,89.99,1,17.0981,72.8919,4
54,CA-2016-105816,2016-11-12,2016-12-17,2,JM-15265,10024,4,OFF-FA-10000304,Not,Late,15.26,7,6.2566,9.0034,35
55,CA-2016-105816,2016-11-12,2016-12-17,2,JM-15265,10024,4,TEC-PH-10002447,Not,Late,1029.95,5,298.6855,731.2645,35
56,CA-2016-111682,2016-06-17,2016-06-18,3,TB-21055,12180,4,OFF-ST-10000604,Yes,On-Time,208.56,6,52.14,156.42,1
57,CA-2016-111682,2016-06-17,2016-06-18,3,TB-21055,12180,4,OFF-PA-10001569,Yes,On-Time,32.4,5,15.552,16.848,1
58,CA-2016-111682,2016-06-17,2016-06-18,3,TB-21055,12180,4,FUR-CH-10003968,Yes,On-Time,319.41,5,7.098,312.312,1
59,CA-2016-111682,2016-06-17,2016-06-18,3,TB-21055,12180,4,OFF-PA-10000587,Yes,On-Time,14.56,2,6.9888,7.5712,1
60,CA-2016-111682,2016-06-17,2016-06-18,3,TB-21055,12180,4,TEC-AC-10002167,Yes,On-Time,30.0,2,3.3,26.7,1
61,CA-2016-111682,2016-06-17,2016-06-18,3,TB-21055,12180,4,OFF-BI-10001460,Yes,On-Time,48.48,4,16.362,32.118,1
62,CA-2016-111682,2016-06-17,2016-06-18,3,TB-21055,12180,4,OFF-AR-10001868,Yes,On-Time,1.68,1,0.84,0.84,1
63,CA-2015-135545,2015-11-24,2015-11-30,2,KM-16720,90004,2,TEC-AC-10004633,Not,Late,13.98,2,6.1512,7.8288,6
64,CA-2015-135545,2015-11-24,2015-11-30,2,KM-16720,90004,2,OFF-BI-10001078,Not,Late,25.824,6,9.3612,16.4628,6
65,CA-2015-135545,2015-11-24,2015-11-30,2,KM-16720,90004,2,OFF-PA-10003892,Not,Late,146.73,3,68.9631,77.7669,6
66,CA-2015-135545,2015-11-24,2015-11-30,2,KM-16720,90004,2,FUR-FU-10000397,Not,Late,79.76,4,22.3328,57.4272,6
67,US-2015-164175,2015-04-30,2015-05-05,2,PS-18970,60610,3,FUR-CH-10001146,Not,On-Time,213.115,5,-15.2225,228.3375,5
68,CA-2014-106376,2014-05-12,2014-10-12,2,BS-11590,85234,2,OFF-AR-10002671,Not,Late,1113.024,8,111.3024,1001.7216,153
69,CA-2014-106376,2014-05-12,2014-10-12,2,BS-11590,85234,2,TEC-PH-10002726,Not,Late,167.968,4,62.988,104.98,153
70,CA-2016-119823,2016-04-06,2016-06-06,3,KD-16270,22153,1,OFF-PA-10000482,Not,Late,75.88,2,35.6636,40.2164,61
71,CA-2016-106075,2016-09-18,2016-09-23,2,HM-14980,10009,4,OFF-BI-10004654,Not,On-Time,4.616,1,1.731,2.885,5
72,CA-2017-114440,2017-09-14,2017-09-17,1,TB-21520,49201,3,OFF-PA-10004675,Not,On-Time,19.05,3,8.763,10.287,3
73,US-2015-134026,2015-04-26,2015-04-26,2,JE-15745,38109,1,FUR-CH-10000513,Not,On-Time,831.936,8,-114.3912,946.3272,0
74,US-2015-134026,2015-04-26,2015-04-26,2,JE-15745,38109,1,FUR-FU-10003708,Not,On-Time,97.04,2,1.213,95.827,0
75,US-2015-134026,2015-04-26,2015-04-26,2,JE-15745,38109,1,OFF-ST-10004123,Not,On-Time,72.784,1,-18.196,90.98,0
76,US-2017-118038,2017-09-12,2017-11-12,3,KB-16600,77041,3,OFF-BI-10004182,Not,Late,1.248,3,-1.9344,3.1824,61
77,US-2017-118038,2017-09-12,2017-11-12,3,KB-16600,77041,3,FUR-FU-10000260,Not,Late,9.708,3,-5.8248,15.5328,61
78,US-2017-118038,2017-09-12,2017-11-12,3,KB-16600,77041,3,OFF-ST-10000615,Not,Late,27.24,3,2.724,24.516,61
79,US-2014-147606,2014-11-26,2014-11-26,1,JE-15745,77070,3,FUR-FU-10003194,Not,On-Time,19.3,5,-14.475,33.775,0
80,CA-2016-127208,2016-12-06,2016-12-06,3,SC-20770,35601,1,OFF-AP-10002118,Not,On-Time,208.16,1,56.2032,151.9568,0
81,CA-2016-127208,2016-12-06,2016-12-06,3,SC-20770,35601,1,OFF-BI-10002309,Not,On-Time,16.74,3,8.0352,8.7048,0
82,CA-2014-139451,2014-12-10,2014-12-10,2,DN-13690,94122,2,OFF-AR-10002053,Not,On-Time,14.9,5,4.172,10.728,0
83,CA-2014-139451,2014-12-10,2014-12-10,2,DN-13690,94122,2,OFF-ST-10002370,Not,On-Time,21.39,1,6.2031,15.1869,0
84,CA-2015-149734,2015-03-09,2015-08-09,2,JC-16105,27707,1,OFF-EN-10000927,Not,Late,200.984,7,62.8075,138.1765,153
85,US-2017-119662,2017-11-13,2017-11-16,3,CS-12400,60623,3,OFF-ST-10003656,Not,Late,230.376,3,-48.9549,279.3309,3
86,CA-2017-140088,2017-05-28,2017-05-30,1,PO-18865,29203,1,FUR-CH-10000863,Not,On-Time,301.96,2,33.2156,268.7444,2
87,CA-2017-155558,2017-10-26,2017-10-26,2,PG-18895,55901,3,TEC-AC-10001998,Not,On-Time,19.99,1,6.7966,13.1934,0
88,CA-2017-155558,2017-10-26,2017-10-26,2,PG-18895,55901,3,OFF-LA-10000134,Not,On-Time,6.16,2,2.9568,3.2032,0
89,CA-2016-159695,2016-05-04,2016-10-04,1,GM-14455,77095,3,OFF-ST-10003442,Not,Late,158.368,7,13.8572,144.5108,153
90,CA-2016-109806,2016-09-17,2016-09-22,2,JS-15685,90036,2,OFF-AR-10004930,Yes,On-Time,20.1,3,6.633,13.467,5
91,CA-2016-109806,2016-09-17,2016-09-22,2,JS-15685,90036,2,TEC-PH-10004093,Yes,On-Time,73.584,2,8.2782,65.3058,5
92,CA-2016-109806,2016-09-17,2016-09-22,2,JS-15685,90036,2,OFF-PA-10000304,Yes,On-Time,6.48,1,3.1104,3.3696,5
93,CA-2015-149587,2015-01-31,2015-05-02,1,KB-16315,55407,3,OFF-PA-10003177,Not,Late,12.96,2,6.2208,6.7392,91
94,CA-2015-149587,2015-01-31,2015-05-02,1,KB-16315,55407,3,FUR-FU-10003799,Not,Late,53.34,3,16.5354,36.8046,91
95,CA-2015-149587,2015-01-31,2015-05-02,1,KB-16315,55407,3,OFF-BI-10002852,Not,Late,32.96,2,16.1504,16.8096,91
96,US-2017-109484,2017-06-11,2017-12-11,2,RB-19705,97206,2,OFF-BI-10004738,Not,Late,5.682,1,-3.788,9.47,183
97,CA-2017-161018,2017-09-11,2017-11-11,1,PN-18775,10009,4,FUR-FU-10000629,Not,Late,96.53,7,40.5426,55.9874,61
98,CA-2017-157833,2017-06-17,2017-06-20,3,KD-16345,94122,2,OFF-BI-10001721,Not,Late,51.312,3,17.9592,33.3528,3
99,CA-2016-149223,2016-06-09,2016-11-09,2,ER-13855,55106,3,OFF-AP-10000358,Not,Late,77.88,6,22.5852,55.2948,153
100,CA-2016-158568,2016-08-29,2016-08-29,2,RB-19465,60610,3,OFF-PA-10003256,Not,On-Time,64.624,7,22.6184,42.0056,0
101,CA-2016-158568,2016-08-29,2016-08-29,2,RB-19465,60610,3,TEC-AC-10001767,Not,On-Time,95.976,3,-10.7973,106.7733,0
102,CA-2016-158568,2016-08-29,2016-08-29,2,RB-19465,60610,3,OFF-BI-10002609,Not,On-Time,1.788,3,-3.0396,4.8276,0
103,CA-2016-129903,2016-01-12,2016-04-12,1,GZ-14470,55901,3,OFF-PA-10004040,Not,Late,23.92,4,11.7208,12.1992,91
104,US-2015-156867,2015-11-13,2015-11-17,2,LC-16870,80013,2,TEC-AC-10001552,Not,On-Time,238.896,6,-26.8758,265.7718,4
105,US-2015-156867,2015-11-13,2015-11-17,2,LC-16870,80013,2,FUR-FU-10004006,Not,On-Time,102.36,3,-3.8385,106.1985,4
106,US-2015-156867,2015-11-13,2015-11-17,2,LC-16870,80013,2,OFF-BI-10002794,Not,On-Time,36.882,3,-25.8174,62.6994,4
107,CA-2017-119004,2017-11-23,2017-11-28,2,JM-15250,28205,1,TEC-AC-10003499,Not,On-Time,74.112,8,17.6016,56.5104,5
108,CA-2017-119004,2017-11-23,2017-11-28,2,JM-15250,28205,1,TEC-PH-10002844,Not,On-Time,27.992,1,2.0994,25.8926,5
109,CA-2017-119004,2017-11-23,2017-11-28,2,JM-15250,28205,1,OFF-AR-10000390,Not,On-Time,3.304,1,1.0738,2.2302,5
110,CA-2015-129476,2015-10-15,2015-10-20,2,PA-19060,60462,3,TEC-AC-10000844,Not,On-Time,339.96,5,67.992,271.968,5
111,CA-2017-146780,2017-12-25,2017-12-30,2,CV-12805,10035,4,FUR-FU-10001934,Not,On-Time,41.96,2,10.9096,31.0504,5
112,CA-2016-128867,2016-03-11,2016-10-11,2,CL-12565,50322,3,OFF-AR-10000380,Not,Late,75.96,2,22.788,53.172,214
113,CA-2016-128867,2016-03-11,2016-10-11,2,CL-12565,50322,3,OFF-BI-10003981,Not,Late,27.24,6,13.3476,13.8924,214
114,CA-2014-115259,2014-08-25,2014-08-27,1,RC-19960,43229,4,OFF-FA-10000621,Not,On-Time,40.096,14,14.5348,25.5612,2
115,CA-2014-115259,2014-08-25,2014-08-27,1,RC-19960,43229,4,OFF-EN-10002600,Not,On-Time,4.72,2,1.652,3.068,2
