Postal Code,Country,Region,State,City,longitude,latitude
1040,United States,East,Massachusetts,Holyoke,-71.382437,42.407211
1453,United States,East,Massachusetts,Leominster,-71.382437,42.407211
1752,United States,East,Massachusetts,Marlborough,-71.382437,42.407211
1810,United States,East,Massachusetts,Andover,-71.382437,42.407211
1841,United States,East,Massachusetts,Lawrence,-71.382437,42.407211
1852,United States,East,Massachusetts,Lowell,-71.382437,42.407211
1915,United States,East,Massachusetts,Beverly,-71.382437,42.407211
2038,United States,East,Massachusetts,Franklin,-71.382437,42.407211
2138,United States,East,Massachusetts,Cambridge,-71.382437,42.407211
2148,United States,East,Massachusetts,Malden,-71.382437,42.407211
2149,United States,East,Massachusetts,Everett,-71.382437,42.407211
2151,United States,East,Massachusetts,Revere,-71.382437,42.407211
2169,United States,East,Massachusetts,Quincy,-71.382437,42.407211
2740,United States,East,Massachusetts,New Bedford,-71.382437,42.407211
2886,United States,East,Rhode Island,Warwick,-71.477429,41.580095
2895,United States,East,Rhode Island,Woonsocket,-71.477429,41.580095
2908,United States,East,Rhode Island,Providence,-71.477429,41.580095
2920,United States,East,Rhode Island,Cranston,-71.477429,41.580095
3060,United States,East,New Hampshire,Nashua,-71.572395,43.193852
3301,United States,East,New Hampshire,Concord,-71.572395,43.193852
3820,United States,East,New Hampshire,Dover,-71.572395,43.193852
4240,United States,East,Maine,Lewiston,-69.445469,45.253783
4401,United States,East,Maine,Bangor,-69.445469,45.253783
5408,United States,East,Vermont,Burlington,-72.577841,44.558803
6010,United States,East,Connecticut,Bristol,-73.087749,41.603221
6040,United States,East,Connecticut,Manchester,-73.087749,41.603221
6360,United States,East,Connecticut,Norwich,-73.087749,41.603221
6450,United States,East,Connecticut,Meriden,-73.087749,41.603221
6457,United States,East,Connecticut,Middletown,-73.087749,41.603221
6460,United States,East,Connecticut,Milford,-73.087749,41.603221
6484,United States,East,Connecticut,Shelton,-73.087749,41.603221
6708,United States,East,Connecticut,Waterbury,-73.087749,41.603221
6810,United States,East,Connecticut,Danbury,-73.087749,41.603221
6824,United States,East,Connecticut,Fairfield,-73.087749,41.603221
7002,United States,East,New Jersey,Bayonne,-74.405661,40.058324
7011,United States,East,New Jersey,Clifton,-74.405661,40.058324
7017,United States,East,New Jersey,East Orange,-74.405661,40.058324
7036,United States,East,New Jersey,Linden,-74.405661,40.058324
7050,United States,East,New Jersey,Orange,-74.405661,40.058324
