month,year,tong_month
1,2014,28953.705999999995
2,2014,12743.107999999995
3,2014,54801.90600000001
4,2014,24710.016
5,2014,29639.833999999988
6,2014,29287.030600000002
7,2014,35341.246
8,2014,37854.547499999986
9,2014,66110.22380000002
10,2014,34561.947
11,2014,64817.61850000001
12,2014,65426.3147
1,2015,29347.386399999985
2,2015,20728.352
3,2015,40876.61119999998
4,2015,38056.9685
5,2015,30933.71450000002
6,2015,28862.19819999998
7,2015,28730.37599999999
8,2015,50094.528000000006
9,2015,66729.32900000003
10,2015,32025.07499999999
11,2015,50732.30900000004
12,2015,53415.661199999995
1,2016,38048.184000000016
2,2016,49238.40999999999
3,2016,49612.045000000006
4,2016,45192.27799999999
5,2016,64964.321799999976
6,2016,38991.943
7,2016,42773.395
8,2016,46339.9884
9,2016,41985.14230000001
10,2016,52268.14999999999
11,2016,66837.58499999998
12,2016,72954.1555
1,2017,64734.311
2,2017,50011.4894
3,2017,74774.0837999999
4,2017,39072.00159999998
5,2017,40882.446399999986
6,2017,47742.3255
7,2017,54382.0875
8,2017,75675.30399999997
9,2017,74164.60800000005
10,2017,65501.1622
11,2017,89306.23999999995
12,2017,56969.1958
