month,year,total_revenue
1,2014,28953.71
2,2014,12743.11
3,2014,54801.91
4,2014,24710.02
5,2014,29639.83
6,2014,29287.03
7,2014,35341.25
8,2014,37854.55
9,2014,66110.22
10,2014,34561.95
11,2014,64817.62
12,2014,65426.31
1,2015,29347.39
2,2015,20728.35
3,2015,40876.61
4,2015,38056.97
5,2015,30933.71
6,2015,28862.2
7,2015,28730.38
8,2015,50094.53
9,2015,66729.33
10,2015,32025.07
11,2015,50732.31
12,2015,53415.66
1,2016,38048.18
2,2016,49238.41
3,2016,49612.05
4,2016,45192.28
5,2016,64964.32
6,2016,38991.94
7,2016,42773.4
8,2016,46339.99
9,2016,41985.14
10,2016,52268.15
11,2016,66837.58
12,2016,72954.16
1,2017,64734.31
2,2017,50011.49
3,2017,74774.08
4,2017,39072
5,2017,40882.45
6,2017,47742.33
7,2017,54382.09
8,2017,75675.3
9,2017,74164.61
10,2017,65501.16
11,2017,89306.24
12,2017,56969.2
