month,year,tong_month
1,2014,7195.901000000001
2,2014,883.92
3,2014,2553.164
4,2014,1420.052
5,2014,1156.167
6,2014,3614.7205999999996
7,2014,3179.568
8,2014,3304.452
9,2014,5445.3258000000005
10,2014,4918.171
11,2014,12494.3865
12,2014,12515.5767
1,2015,2536.648
2,2015,1075.929
3,2015,1494.2166
4,2015,3692.6580000000004
5,2015,5797.335
6,2015,3293.8572
7,2015,4513.228
8,2015,8455.823
9,2015,10644.965999999999
10,2015,5307.675000000001
11,2015,6165.4220000000005
12,2015,4285.3582
1,2016,3881.642
2,2016,3875.98
3,2016,2534.455
4,2016,2207.7709999999997
5,2016,9340.780799999999
6,2016,3556.2650000000003
7,2016,5746.87
8,2016,9228.2444
9,2016,9587.400299999998
10,2016,5232.481000000001
11,2016,7749.238000000001
12,2016,9010.466
1,2017,6492.903
2,2017,3962.9943999999996
3,2017,3212.9548
4,2017,1560.8256
5,2017,4092.3924
6,2017,8363.033
7,2017,3826.1040000000003
8,2017,8584.712
9,2017,8090.832999999999
10,2017,3737.8822
11,2017,10805.2
12,2017,9731.685000000001
