"retail Order id","order id","order Date","ship Date","ship Mode id","customer id","postal Code","retail Sales People id","product id",returned,"ship status",sales,quantity,profit,cost,days
1,CA-2016-152156,2016-08-11,2016-11-11,1,CG-12520,42420,1,FUR-BO-10001798,Not,Late,261.96,2,41.9136,220.0464,92
2,CA-2016-152156,2016-08-11,2016-11-11,1,CG-12520,42420,1,FUR-CH-10000454,Not,Late,731.94,3,219.582,512.358,92
24,US-2017-156909,2017-07-16,2017-07-18,1,SF-20065,19140,4,FUR-CH-10002774,Not,On-Time,71.372,2,-1.0196,72.3916,2
28,US-2015-150630,2015-09-17,2015-09-21,2,TB-21520,19140,4,FUR-BO-10004834,Not,On-Time,3083.43,7,-1665.0522,4748.4822,4
39,CA-2015-117415,2015-12-27,2015-12-31,2,SN-20710,77041,3,FUR-BO-10002545,Not,On-Time,532.3992,3,-46.9764,579.3756,4
73,US-2015-134026,2015-04-26,2015-04-26,2,JE-15745,38109,1,FUR-CH-10000513,Not,On-Time,831.936,8,-114.3912,946.3272,0
86,CA-2017-140088,2017-05-28,2017-05-30,1,PO-18865,29203,1,FUR-CH-10000863,Not,On-Time,301.96,2,33.2156,268.7444,2
129,US-2016-125969,2016-06-11,2016-10-11,1,LS-16975,90004,2,FUR-CH-10001146,Not,Late,81.424,2,-9.1602,90.5842,122
150,CA-2016-114489,2016-05-12,2016-09-12,2,JE-16165,53132,3,FUR-CH-10000454,Not,Late,1951.84,8,585.552,1366.288,123
190,CA-2015-102281,2015-12-10,2015-12-10,3,MP-17470,10035,4,FUR-BO-10002613,Not,On-Time,899.136,4,112.392,786.744,0
193,CA-2015-102281,2015-12-10,2015-12-10,3,MP-17470,10035,4,FUR-BO-10002545,Not,On-Time,626.352,3,46.9764,579.3756,0
214,CA-2015-146262,2015-02-01,2015-09-01,2,VW-21775,44256,4,FUR-BO-10004695,Yes,Late,452.45,5,-244.323,696.773,212
293,CA-2016-110772,2016-11-20,2016-11-24,1,NZ-18565,43229,4,FUR-BO-10004709,Not,Late,86.97,3,-48.7032,135.6732,4
295,CA-2014-111451,2014-12-26,2014-12-28,3,KL-16555,80906,2,FUR-CH-10001891,Not,On-Time,230.352,3,20.1558,210.1962,2
318,CA-2014-164973,2014-04-11,2014-09-11,2,NM-18445,10024,4,FUR-CH-10002602,Not,Late,135.882,1,24.1568,111.7252,153
355,CA-2016-138520,2016-08-04,2016-08-04,2,JL-15505,10035,4,FUR-BO-10002268,Not,On-Time,388.704,6,-4.8588,393.5628,0
363,CA-2017-144904,2017-09-25,2017-09-25,2,KW-16435,10009,4,FUR-CH-10000785,Not,On-Time,488.646,3,86.8704,401.7756,0
370,CA-2016-155516,2016-10-21,2016-10-21,4,MK-17905,6040,4,FUR-BO-10002545,Not,On-Time,1043.92,4,271.4192,772.5008,0
400,CA-2016-108987,2016-08-09,2016-10-09,1,AG-10675,77036,3,FUR-BO-10004834,Not,Late,2396.2656,4,-317.1528,2713.4184,61
416,CA-2017-142636,2017-03-11,2017-07-11,2,KC-16675,98105,2,FUR-CH-10001891,Not,Late,307.136,4,26.8744,280.2616,122
425,CA-2017-155705,2017-08-21,2017-08-23,1,NF-18385,39212,1,FUR-CH-10000015,Not,On-Time,866.4,4,225.264,641.136,2
457,US-2014-110674,2014-12-02,2014-12-02,2,SC-20095,94521,2,FUR-CH-10000225,Not,On-Time,129.568,2,-24.294,153.862,0
458,US-2016-157945,2016-09-26,2016-09-26,2,NF-18385,62521,3,FUR-CH-10002331,Not,On-Time,747.558,3,-96.1146,843.6726,0
469,CA-2017-154907,2017-03-31,2017-04-04,2,DS-13180,79109,3,FUR-BO-10002824,Not,On-Time,205.3328,2,-36.2352,241.568,4
473,CA-2014-144666,2014-09-11,2014-11-11,1,JP-15520,94110,2,FUR-BO-10001601,Not,Late,222.666,2,10.4784,212.1876,61
486,CA-2017-140963,2017-10-06,2017-10-06,3,MT-18070,90045,2,FUR-BO-10001337,Yes,On-Time,514.165,5,-30.245,544.41,0
499,CA-2016-126158,2016-07-25,2016-07-31,2,SC-20095,92627,2,FUR-CH-10002602,Not,Late,241.568,2,18.1176,223.4504,6
503,US-2016-105578,2016-05-30,2016-05-30,2,MY-17380,80134,2,FUR-CH-10001215,Yes,On-Time,801.568,2,50.098,751.47,0
532,CA-2015-102848,2015-07-11,2015-09-11,1,KB-16240,90036,2,FUR-CH-10000595,Not,Late,190.72,1,11.92,178.8,62
540,CA-2015-134894,2015-07-12,2015-11-12,2,DK-12985,42420,1,FUR-CH-10002647,Not,Late,283.92,4,70.98,212.94,123
552,CA-2016-136406,2016-04-15,2016-04-17,1,BD-11320,94110,2,FUR-CH-10002024,Not,On-Time,1121.568,2,0,1121.568,2
636,CA-2015-168004,2015-04-10,2015-09-10,1,DJ-13420,31088,1,FUR-CH-10001482,Not,Late,392.94,3,43.2234,349.7166,153
658,US-2016-156097,2016-09-19,2016-09-19,4,EH-14125,60505,3,FUR-CH-10001215,Not,On-Time,701.372,2,-50.098,751.47,0
689,CA-2017-161480,2017-12-25,2017-12-29,2,RA-19285,10035,4,FUR-BO-10004015,Not,On-Time,191.984,2,4.7996,187.1844,4
709,CA-2014-112158,2014-02-12,2014-04-12,3,DP-13165,10035,4,FUR-BO-10003272,Not,Late,883.92,5,-110.49,994.41,59
778,CA-2015-144267,2015-08-21,2015-08-23,3,NZ-18565,94110,2,FUR-CH-10002335,Yes,On-Time,544.008,3,40.8006,503.2074,2
800,CA-2015-101910,2015-11-27,2015-11-27,2,CD-11920,92530,2,FUR-CH-10002647,Yes,On-Time,283.92,5,17.745,266.175,0
820,CA-2014-140858,2014-06-28,2014-06-28,2,CA-12775,19140,4,FUR-CH-10001394,Not,On-Time,1228.465,5,0,1228.465,0
830,CA-2017-129462,2017-06-16,2017-06-21,1,JE-15745,41042,1,FUR-CH-10000665,Not,Late,301.96,2,90.588,211.372,5
842,CA-2015-100454,2015-11-20,2015-11-25,2,BM-11650,10035,4,FUR-BO-10001519,Not,On-Time,186.048,4,9.3024,176.7456,5
848,CA-2015-114300,2015-10-13,2015-10-17,2,AF-10885,40214,1,FUR-CH-10001891,Not,On-Time,287.94,3,77.7438,210.1962,4
984,CA-2014-163419,2014-11-11,2014-11-14,1,TZ-21580,80027,2,FUR-CH-10000665,Not,On-Time,603.92,5,75.49,528.43,3
1022,CA-2015-124450,2015-04-27,2015-04-27,2,GT-14710,20016,4,FUR-CH-10000309,Not,On-Time,1267.53,3,316.8825,950.6475,0
1043,CA-2016-102981,2016-06-09,2016-09-09,1,MO-17500,10035,4,FUR-BO-10001811,Not,Late,722.352,3,90.294,632.058,92
1046,CA-2017-152702,2017-12-10,2017-12-10,2,SN-20710,61107,3,FUR-CH-10002304,Not,On-Time,254.604,14,-18.186,272.79,0
1068,CA-2016-157686,2016-01-10,2016-02-10,3,BD-11620,94122,2,FUR-CH-10001146,Not,Late,194.848,4,12.178,182.67,31
1115,CA-2017-140585,2017-12-18,2017-12-23,1,RA-19915,92024,2,FUR-BO-10002206,Yes,Late,119.833,1,-12.6882,132.5212,5
1127,US-2014-147627,2014-01-20,2014-01-26,2,HL-15040,72401,1,FUR-CH-10002331,Not,Late,1067.94,3,224.2674,843.6726,6
1159,CA-2016-149314,2016-02-07,2016-07-07,1,GB-14530,90004,2,FUR-CH-10002126,Not,Late,195.184,1,19.5184,175.6656,151
1178,CA-2016-113621,2016-01-12,2016-05-12,2,JE-15745,20852,4,FUR-CH-10001270,Not,Late,172.5,2,51.75,120.75,121
1201,CA-2016-114727,2016-07-18,2016-07-24,2,LS-16945,80219,2,FUR-CH-10002335,Yes,Late,544.008,3,40.8006,503.2074,6
1203,CA-2016-114727,2016-07-18,2016-07-24,2,LS-16945,80219,2,FUR-CH-10002331,Yes,Late,854.352,3,10.6794,843.6726,6
1212,CA-2016-137050,2016-07-14,2016-07-18,1,SW-20755,10009,4,FUR-BO-10004695,Not,Late,579.136,4,21.7176,557.4184,4
1248,CA-2014-168494,2014-12-12,2014-12-14,1,NP-18700,93727,2,FUR-BO-10004467,Not,On-Time,254.9745,3,11.9988,242.9757,2
1250,CA-2017-115602,2017-12-18,2017-12-24,2,DJ-13630,10009,4,FUR-CH-10001708,Not,Late,1141.938,9,139.5702,1002.3678,6
1268,US-2014-167738,2014-12-24,2014-12-29,2,JC-16105,90045,2,FUR-CH-10001146,Not,On-Time,292.272,6,18.267,274.005,5
1275,CA-2016-119186,2016-05-26,2016-05-26,4,MS-17710,76106,3,FUR-CH-10001973,Not,On-Time,388.43,5,-88.784,477.214,0
1303,CA-2015-115847,2015-09-19,2015-09-24,1,TC-21535,22204,1,FUR-BO-10003433,Not,Late,61.96,2,4.3372,57.6228,5
1370,US-2015-103471,2015-12-24,2015-12-28,2,JR-15670,80906,2,FUR-BO-10002613,Not,On-Time,590.058,7,-786.744,1376.802,4
1387,US-2016-108504,2016-05-02,2016-05-02,4,PP-18955,30080,1,FUR-BO-10004015,Not,On-Time,239.98,2,52.7956,187.1844,0
1412,CA-2016-136329,2016-09-07,2016-09-07,2,JD-15895,10035,4,FUR-CH-10002335,Not,On-Time,408.006,2,72.5344,335.4716,0
1434,CA-2014-120768,2014-12-19,2014-12-21,1,IM-15070,35630,1,FUR-CH-10000513,Not,On-Time,1819.86,14,163.7874,1656.0726,2
1439,CA-2015-139731,2015-10-15,2015-10-15,4,JE-15745,79109,3,FUR-CH-10002024,Yes,On-Time,2453.43,5,-350.49,2803.92,0
1464,CA-2016-152289,2016-08-26,2016-08-28,3,LC-16930,77506,3,FUR-CH-10002126,Not,On-Time,1024.716,6,-29.2776,1053.9936,2
1469,CA-2017-139199,2017-09-12,2017-12-13,2,DK-12835,48234,3,FUR-CH-10000847,Not,Late,872.94,3,226.9644,645.9756,92
1493,CA-2017-166436,2017-11-24,2017-11-28,2,TS-21370,10035,4,FUR-CH-10000785,Not,On-Time,977.292,6,173.7408,803.5512,4
1535,CA-2017-124086,2017-10-02,2017-10-02,2,MP-18175,92677,2,FUR-BO-10004015,Not,On-Time,203.983,2,16.7986,187.1844,0
1540,CA-2017-121888,2017-09-15,2017-09-17,1,CL-11890,2149,4,FUR-BO-10002545,Not,On-Time,782.94,3,203.5644,579.3756,2
1546,CA-2014-150245,2014-12-31,2015-04-01,1,PC-18745,13601,4,FUR-BO-10002613,Not,Late,1573.488,7,196.686,1376.802,91
1571,US-2014-157385,2014-11-23,2014-11-25,3,SC-20095,90004,2,FUR-CH-10000863,Not,On-Time,603.92,5,-67.941,671.861,2
1574,US-2014-157385,2014-11-23,2014-11-25,3,SC-20095,90004,2,FUR-CH-10000595,Not,On-Time,381.44,2,23.84,357.6,2
1595,CA-2015-118423,2015-03-24,2015-03-27,3,DP-13390,61604,3,FUR-BO-10000362,Not,Late,359.058,3,-35.9058,394.9638,3
1611,CA-2014-156349,2014-05-26,2014-05-30,2,ML-17395,90008,2,FUR-BO-10000362,Yes,On-Time,290.666,2,27.3568,263.3092,4
1715,CA-2017-104003,2017-07-10,2017-10-13,2,DC-13285,94110,2,FUR-BO-10003965,Not,Late,307.666,2,-14.4784,322.1444,95
1724,US-2015-123218,2015-12-20,2015-12-25,2,KD-16345,60623,3,FUR-BO-10003966,Not,On-Time,359.058,3,-71.8116,430.8696,5
1792,CA-2014-120474,2014-01-12,2014-03-12,3,RP-19390,53711,3,FUR-CH-10001854,Not,Late,2807.84,8,673.8816,2133.9584,59
1833,CA-2015-131422,2015-05-11,2015-09-11,2,GB-14530,28110,1,FUR-CH-10001270,Not,Late,207,3,25.875,181.125,123
1842,CA-2016-157763,2016-07-18,2016-07-23,2,KH-16330,42104,1,FUR-CH-10000988,Not,On-Time,140.81,1,39.4268,101.3832,5
1848,CA-2017-128370,2017-10-09,2017-10-09,4,FH-14275,90004,2,FUR-CH-10002602,Not,On-Time,362.352,3,27.1764,335.1756,0
1861,US-2017-121251,2017-03-26,2017-03-27,3,GM-14440,10009,4,FUR-BO-10001918,Not,On-Time,257.568,2,-28.9764,286.5444,1
1872,CA-2014-116932,2014-07-21,2014-07-25,2,ME-18010,94122,2,FUR-CH-10001215,Not,On-Time,801.568,2,50.098,751.47,4
1876,US-2016-112977,2016-10-03,2016-10-03,2,CJ-12010,11561,4,FUR-BO-10003272,Not,On-Time,176.784,1,-22.098,198.882,0
1882,CA-2015-109512,2015-05-03,2015-05-03,4,LF-17185,10011,4,FUR-CH-10001146,Not,On-Time,383.607,7,63.9345,319.6725,0
1904,CA-2017-167094,2017-10-21,2017-10-22,3,DK-12835,97477,2,FUR-CH-10000155,Not,On-Time,478.48,2,47.848,430.632,1
1933,CA-2017-161200,2017-06-08,2017-10-08,1,SV-20365,70506,1,FUR-BO-10000468,Not,Late,145.74,3,23.3184,122.4216,122
2004,CA-2017-163510,2017-12-25,2017-12-28,1,JW-15955,40214,1,FUR-CH-10001146,Not,On-Time,304.45,5,76.1125,228.3375,3
2008,CA-2017-165386,2017-03-08,2017-04-08,3,CM-12190,60623,3,FUR-BO-10003034,Not,Late,183.372,2,-36.6744,220.0464,31
2014,CA-2016-145905,2016-09-18,2016-09-23,2,AM-10705,36830,1,FUR-CH-10001854,Not,On-Time,350.98,1,84.2352,266.7448,5
2026,CA-2015-114237,2015-03-13,2015-03-15,3,MC-17275,98103,2,FUR-BO-10004409,Not,On-Time,141.96,2,39.7488,102.2112,2
2057,CA-2017-120376,2017-12-22,2017-12-25,3,TP-21130,48227,3,FUR-CH-10002335,Not,Late,1586.69,7,412.5394,1174.1506,3
2103,CA-2014-123295,2014-07-18,2014-07-18,4,AH-10120,85705,2,FUR-CH-10002372,Not,On-Time,259.136,4,-25.9136,285.0496,0
2116,CA-2015-164882,2015-10-31,2015-10-31,4,SG-20080,92374,2,FUR-BO-10002213,Yes,On-Time,425.833,1,20.0392,405.7938,0
2123,CA-2017-167381,2017-09-22,2017-09-24,1,EH-14005,48911,3,FUR-BO-10001972,Not,On-Time,241.96,2,41.1332,200.8268,2
2151,US-2017-139969,2017-11-19,2017-11-26,2,AF-10870,77840,3,FUR-CH-10001973,Not,Late,233.058,3,-53.2704,286.3284,7
2182,CA-2016-128818,2016-07-05,2016-11-05,2,CJ-12010,10009,4,FUR-CH-10002084,Not,Late,442.764,4,59.0352,383.7288,123
2217,CA-2017-129378,2017-01-10,2017-02-10,3,NS-18505,95123,2,FUR-CH-10000553,Not,Late,108.608,4,9.5032,99.1048,31
2226,CA-2016-106383,2016-03-19,2016-03-21,1,BT-11440,80122,2,FUR-BO-10002202,Not,On-Time,72.294,1,-98.8018,171.0958,2
2258,CA-2017-105214,2017-06-16,2017-06-19,3,TS-21610,94122,2,FUR-CH-10000015,Not,Late,1212.96,7,90.972,1121.988,3
2263,CA-2017-122994,2017-06-02,2017-09-02,3,MV-17485,22204,1,FUR-BO-10004015,Not,Late,359.97,3,79.1934,280.7766,92
2276,CA-2014-157882,2014-03-10,2014-08-10,1,AR-10405,90036,2,FUR-CH-10002774,Not,Late,122.352,3,13.7646,108.5874,153
2282,CA-2017-142622,2017-10-30,2017-10-30,3,JK-15625,98115,2,FUR-BO-10004467,Not,On-Time,199.98,2,37.9962,161.9838,0
2304,CA-2017-157931,2017-09-17,2017-09-22,1,MO-17800,30076,1,FUR-CH-10000785,Not,Late,723.92,4,188.2192,535.7008,5
2306,CA-2016-115574,2016-12-23,2016-12-24,3,BP-11185,60623,3,FUR-BO-10003441,Not,On-Time,141.372,2,-14.1372,155.5092,1
2309,US-2017-120418,2017-11-06,2017-12-06,3,BC-11125,85345,2,FUR-CH-10001394,Not,Late,280.792,1,35.099,245.693,30
2327,CA-2015-105102,2015-09-15,2015-09-19,1,BM-11575,10035,4,FUR-BO-10004709,Not,Late,46.384,1,1.1596,45.2244,4
2354,CA-2015-111514,2015-08-31,2015-08-31,3,SC-20260,94122,2,FUR-BO-10002545,Not,On-Time,1552.831,7,200.9546,1351.8764,0
2367,CA-2014-102295,2014-11-24,2014-11-26,1,EH-13990,95823,2,FUR-CH-10001714,Not,On-Time,120.712,1,-18.1068,138.8188,2
2404,US-2016-110170,2016-09-27,2016-09-27,2,HM-14860,77340,3,FUR-BO-10000780,Not,On-Time,956.6648,7,-225.0976,1181.7624,0
2415,CA-2016-156300,2016-12-29,2017-02-01,2,TB-21595,53209,3,FUR-CH-10001714,Not,Late,754.45,5,60.356,694.094,34
2416,CA-2015-146087,2015-06-07,2015-11-07,2,PP-18955,1040,4,FUR-BO-10002824,Not,Late,301.96,2,60.392,241.568,153
2433,CA-2014-148586,2014-03-25,2014-03-25,2,AZ-10750,10009,4,FUR-CH-10002439,Not,On-Time,366.786,7,65.2064,301.5796,0
2448,CA-2016-119165,2016-10-31,2016-10-31,2,BD-11320,19143,4,FUR-CH-10000988,Not,On-Time,492.835,5,-14.081,506.916,0
2472,US-2016-135923,2016-01-22,2016-01-28,2,CM-11935,28314,1,FUR-BO-10002213,Not,Late,451.136,4,-67.6704,518.8064,6
2474,CA-2016-114972,2016-03-11,2016-06-11,3,PF-19225,90032,2,FUR-CH-10001190,Not,Late,217.584,2,-29.9178,247.5018,92
